27.20,1006.00,38.05,2019-05-22 15:29:26.274547
27.20,1006.00,37.80,2019-05-22 15:29:26.516279
27.20,1006.00,38.80,2019-05-22 15:29:26.756633
27.20,1006.00,38.30,2019-05-22 15:29:26.996355
27.20,1005.00,39.06,2019-05-22 15:29:27.236057
27.20,1006.00,38.80,2019-05-22 15:29:27.475735
27.20,1006.00,38.39,2019-05-22 15:29:27.715476
27.20,1005.00,38.39,2019-05-22 15:29:27.955222
27.20,1005.00,38.89,2019-05-22 15:29:28.194276
27.20,1006.00,38.39,2019-05-22 15:29:28.433180
27.10,1006.00,38.13,2019-05-22 15:29:28.672086
27.10,1006.00,38.55,2019-05-22 15:29:28.911640
27.10,1006.00,38.13,2019-05-22 15:29:29.151442
27.00,1006.00,38.39,2019-05-22 15:29:29.391177
27.00,1006.00,38.30,2019-05-22 15:29:29.630883
27.00,1006.00,38.22,2019-05-22 15:29:29.870659
27.00,1006.00,38.55,2019-05-22 15:29:30.110378
26.90,1006.00,37.21,2019-05-22 15:29:30.350110
26.90,1005.00,37.80,2019-05-22 15:29:30.589902
26.90,1006.00,38.22,2019-05-22 15:29:30.829618
26.90,1006.00,38.22,2019-05-22 15:29:31.069339
26.90,1006.00,38.47,2019-05-22 15:29:31.309033
26.90,1006.00,37.80,2019-05-22 15:29:31.548779
26.90,1006.00,38.05,2019-05-22 15:29:31.788503
26.90,1005.00,38.97,2019-05-22 15:29:32.028202
26.90,1005.00,38.30,2019-05-22 15:29:32.267950
26.90,1005.00,38.30,2019-05-22 15:29:32.507659
26.90,1005.00,38.55,2019-05-22 15:29:32.747371
26.80,1005.00,38.80,2019-05-22 15:29:32.987065
26.80,1006.00,38.55,2019-05-22 15:29:33.226734
26.80,1006.00,37.97,2019-05-22 15:29:33.466497
26.80,1006.00,37.97,2019-05-22 15:29:33.706382
26.80,1006.00,38.97,2019-05-22 15:29:33.946092
26.80,1006.00,37.80,2019-05-22 15:29:34.185818
26.80,1005.00,37.72,2019-05-22 15:29:34.425517
26.80,1006.00,37.72,2019-05-22 15:29:34.665224
26.80,1006.00,35.71,2019-05-22 15:29:34.904942
26.80,1006.00,38.55,2019-05-22 15:29:35.144657
26.80,1006.00,38.30,2019-05-22 15:29:35.384412
26.80,1006.00,38.47,2019-05-22 15:29:35.624164
26.80,1006.00,38.47,2019-05-22 15:29:35.864000
26.80,1005.00,38.80,2019-05-22 15:29:36.103725
26.90,1006.00,38.05,2019-05-22 15:29:36.343490
26.90,1006.00,37.80,2019-05-22 15:29:36.583273
27.00,1005.00,38.55,2019-05-22 15:29:36.823038
27.00,1005.00,38.05,2019-05-22 15:29:37.062786
27.00,1006.00,38.05,2019-05-22 15:29:37.302540
27.00,1006.00,38.80,2019-05-22 15:29:37.542290
27.10,1005.00,38.05,2019-05-22 15:29:37.782053
27.10,1005.00,37.38,2019-05-22 15:29:38.021848
27.10,1005.00,38.39,2019-05-22 15:29:38.261573
27.10,1006.00,38.39,2019-05-22 15:29:38.501332
27.20,1006.00,38.13,2019-05-22 15:29:38.741113
27.20,1005.00,37.88,2019-05-22 15:29:38.980898
27.20,1006.00,38.64,2019-05-22 15:29:39.220642
27.30,1006.00,38.39,2019-05-22 15:29:39.460392
27.40,1006.00,38.39,2019-05-22 15:29:39.700323
27.40,1006.00,37.88,2019-05-22 15:29:39.940062
27.50,1006.00,37.63,2019-05-22 15:29:40.179881
27.50,1006.00,37.97,2019-05-22 15:29:40.419639
27.60,1006.00,37.97,2019-05-22 15:29:40.659302
27.70,1006.00,37.97,2019-05-22 15:29:40.899059
27.70,1006.00,38.22,2019-05-22 15:29:41.138841
27.80,1006.00,38.64,2019-05-22 15:29:41.378669
27.80,1006.00,37.80,2019-05-22 15:29:41.618392
27.80,1006.00,38.30,2019-05-22 15:29:41.858132
27.90,1006.00,38.47,2019-05-22 15:29:42.097906
27.90,1006.00,38.30,2019-05-22 15:29:42.337619
28.00,1006.00,36.46,2019-05-22 15:29:42.577389
27.90,1006.00,39.06,2019-05-22 15:29:42.817466
28.10,1006.00,37.05,2019-05-22 15:29:43.057330
28.10,1006.00,37.97,2019-05-22 15:29:43.297081
28.20,1006.00,37.30,2019-05-22 15:29:43.536813
28.20,1006.00,36.63,2019-05-22 15:29:43.776486
28.20,1006.00,37.38,2019-05-22 15:29:44.016226
28.30,1006.00,37.30,2019-05-22 15:29:44.255931
28.30,1006.00,37.30,2019-05-22 15:29:44.495651
28.30,1006.00,37.13,2019-05-22 15:29:44.735365
28.40,1006.00,37.30,2019-05-22 15:29:44.975118
28.40,1006.00,36.21,2019-05-22 15:29:45.215054
28.40,1006.00,37.30,2019-05-22 15:29:45.454835
28.50,1006.00,36.46,2019-05-22 15:29:45.694738
28.50,1006.00,36.88,2019-05-22 15:29:45.934486
28.60,1006.00,36.71,2019-05-22 15:29:46.174230
28.60,1006.00,37.13,2019-05-22 15:29:46.413968
28.60,1006.00,36.12,2019-05-22 15:29:46.653675
28.70,1006.00,36.46,2019-05-22 15:29:46.893438
28.70,1006.00,36.46,2019-05-22 15:29:47.133206
28.70,1006.00,36.63,2019-05-22 15:29:47.372941
28.80,1006.00,36.21,2019-05-22 15:29:47.612694
28.80,1006.00,36.21,2019-05-22 15:29:47.852438
28.80,1006.00,36.21,2019-05-22 15:29:48.092261
28.80,1006.00,36.21,2019-05-22 15:29:48.332053
28.80,1006.00,36.04,2019-05-22 15:29:48.571788
28.90,1006.00,35.96,2019-05-22 15:29:48.811577
28.90,1006.00,36.04,2019-05-22 15:29:49.051342
28.90,1006.00,35.79,2019-05-22 15:29:49.291125
28.90,1006.00,36.04,2019-05-22 15:29:49.530897
29.00,1006.00,35.45,2019-05-22 15:29:49.770642
29.00,1006.00,35.54,2019-05-22 15:29:50.010382
29.00,1006.00,35.12,2019-05-22 15:29:50.250126
29.10,1006.00,35.62,2019-05-22 15:29:50.489962
29.10,1006.00,35.62,2019-05-22 15:29:50.729707
29.20,1006.00,35.37,2019-05-22 15:29:50.969535
29.20,1006.00,35.62,2019-05-22 15:29:51.209250
29.20,1006.00,34.53,2019-05-22 15:29:51.449031
29.30,1006.00,35.29,2019-05-22 15:29:51.688941
29.30,1006.00,34.87,2019-05-22 15:29:51.928697
29.40,1006.00,34.78,2019-05-22 15:29:52.168428
29.40,1006.00,34.62,2019-05-22 15:29:52.408177
29.40,1006.00,34.87,2019-05-22 15:29:52.647967
29.50,1006.00,34.45,2019-05-22 15:29:52.887666
29.50,1006.00,35.20,2019-05-22 15:29:53.127380
29.50,1006.00,35.20,2019-05-22 15:29:53.367106
29.60,1006.00,34.87,2019-05-22 15:29:53.606882
29.60,1006.00,34.70,2019-05-22 15:29:53.846632
29.60,1006.00,33.53,2019-05-22 15:29:54.086349
29.70,1006.00,34.45,2019-05-22 15:29:54.326062
29.70,1006.00,33.86,2019-05-22 15:29:54.565842
29.70,1006.00,33.95,2019-05-22 15:29:54.805589
29.70,1006.00,33.61,2019-05-22 15:29:55.045320
29.80,1006.00,33.86,2019-05-22 15:29:55.285058
29.80,1006.00,33.78,2019-05-22 15:29:55.524823
29.80,1006.00,33.95,2019-05-22 15:29:55.764585
29.80,1006.00,33.53,2019-05-22 15:29:56.004319
29.90,1006.00,33.53,2019-05-22 15:29:56.244008
29.90,1006.00,33.11,2019-05-22 15:29:56.483771
29.90,1006.00,32.69,2019-05-22 15:29:56.723555
30.00,1006.00,33.53,2019-05-22 15:29:56.963327
30.00,1006.00,33.44,2019-05-22 15:29:57.203060
30.00,1006.00,33.11,2019-05-22 15:29:57.442735
30.00,1006.00,33.44,2019-05-22 15:29:57.682531
30.10,1006.00,33.19,2019-05-22 15:29:57.922319
30.10,1006.00,33.19,2019-05-22 15:29:58.162015
30.10,1006.00,32.94,2019-05-22 15:29:58.401740
30.10,1006.00,32.94,2019-05-22 15:29:58.641467
30.10,1006.00,32.61,2019-05-22 15:29:58.881197
30.20,1006.00,32.36,2019-05-22 15:29:59.120965
30.20,1006.00,32.36,2019-05-22 15:29:59.360625
30.20,1006.00,32.19,2019-05-22 15:29:59.600526
30.10,1006.00,32.19,2019-05-22 15:29:59.840263
